trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-15 15:05:00,2025-12-15 16:05:00,short,48667.23,48711.71,48556.03000000001,48711.71,sl,-46.48,-522.48,-1.045,99477.52,new_york,48691.71,48663.23,2025-12-15 15:05:00
2,2025-12-16 17:50:00,2025-12-16 18:37:00,long,48232.81,48125.31,48501.56,48125.31,sl,-109.5,-506.64,-1.019,98970.88,new_york,48233.81,48145.31,2025-12-16 17:45:00
3,2025-12-18 15:01:00,2025-12-18 15:16:00,short,47990.81,48006.01,47952.80999999998,48006.01,sl,-17.2,-559.97,-1.132,98410.91,new_york,47986.01,47977.91,2025-12-18 15:00:00
4,2025-12-18 15:07:00,2025-12-18 15:26:00,long,47956.81,47929.13,48026.009999999995,48026.009999999995,tp,67.2,1201.38,2.428,99612.29,new_york,47963.18,47949.13,2025-12-18 13:10:00
5,2025-12-18 16:23:00,2025-12-18 16:31:00,long,48128.81,48075.81,48261.31,48261.31,tp,130.5,1226.36,2.462,100838.65,new_york,48131.81,48095.81,2025-12-18 16:20:00
6,2025-12-22 14:45:00,2025-12-22 16:05:00,long,48150.03,48119.03,48227.53,48227.53,tp,75.5,1227.95,2.435,102066.6,new_york,48153.03,48139.03,2025-12-22 14:40:00
7,2025-12-24 16:31:00,2025-12-24 16:32:00,short,48496.71,48474.03,48553.41,48474.03,sl,20.68,465.33,0.912,102531.93,new_york,48454.03,48443.53,2025-12-24 16:30:00
8,2025-12-24 19:58:00,2025-12-26 13:41:00,short,48745.03,48788.03,48637.53,48637.53,tp,105.5,1257.8,2.453,103789.74,new_york,48768.03,48738.03,2025-12-24 19:55:00
9,2025-12-26 19:18:00,2025-12-26 22:32:00,short,48626.73,48665.73,48529.23,48665.73,sl,-41.0,-545.56,-1.051,103244.18,new_york,48645.73,48621.73,2025-12-26 19:15:00
10,2025-12-30 14:10:00,2025-12-30 16:32:00,short,48481.7,48509.7,48411.7,48411.7,tp,68.0,1253.68,2.429,104497.86,new_york,48489.7,48480.2,2025-12-30 11:25:00
11,2025-12-30 15:29:00,2025-12-30 16:30:00,long,48460.61,48434.81,48525.11000000001,48434.81,sl,-27.8,-556.24,-1.078,103941.62,new_york,48460.7,48454.81,2025-12-30 15:25:00
12,2025-12-31 15:08:00,2025-12-31 16:28:00,long,48333.8,48311.3,48390.05,48390.05,tp,54.25,1253.07,2.411,105194.69,new_york,48336.3,48331.3,2025-12-31 15:05:00
13,2025-12-31 17:35:00,2025-12-31 17:50:00,long,48228.35,48187.35,48330.85,48187.35,sl,-43.0,-551.63,-1.049,104643.06,new_york,48246.3,48207.35,2025-12-31 17:35:00
14,2026-01-02 14:15:00,2026-01-02 15:50:00,short,48269.81,48299.0,48196.83499999999,48196.83499999999,tp,70.98,1272.19,2.431,105915.25,new_york,48279.0,48268.5,2026-01-02 14:10:00
15,2026-01-05 14:24:00,2026-01-05 14:45:00,long,48391.4,48358.21,48474.37500000001,48358.21,sl,-35.19,-561.49,-1.06,105353.76,new_york,48397.31,48378.21,2026-01-05 08:50:00
16,2026-01-05 14:30:00,2026-01-05 15:07:00,long,48364.31,48341.31,48421.81,48341.31,sl,-25.0,-575.63,-1.087,104778.14,new_york,48366.81,48361.31,2026-01-05 06:50:00
17,2026-01-06 16:24:00,2026-01-06 16:33:00,long,48910.01,48874.2,48999.53500000002,48999.53500000002,tp,87.53,1280.47,2.444,106058.6,new_york,48911.2,48894.2,2026-01-06 14:55:00
18,2026-01-08 14:51:00,2026-01-08 15:30:00,short,48821.2,48854.7,48737.45,48854.7,sl,-35.5,-561.95,-1.06,105496.65,new_york,48834.7,48820.7,2026-01-08 14:45:00
19,2026-01-08 16:31:00,2026-01-08 16:32:00,short,48934.7,48919.61,48972.42499999999,48919.61,sl,13.09,457.57,0.867,105954.22,new_york,48899.61,48880.65,2026-01-08 11:25:00
20,2026-01-09 14:01:00,2026-01-09 15:01:00,short,49272.8,49308.3,49184.05,49308.3,sl,-37.5,-559.62,-1.056,105394.61,new_york,49288.3,49272.3,2026-01-09 12:50:00
21,2026-01-09 14:11:00,2026-01-09 15:12:00,long,49262.3,49239.3,49319.8,49319.8,tp,55.5,1278.36,2.413,106672.97,new_york,49262.35,49259.3,2026-01-09 13:35:00
22,2026-01-09 16:31:00,2026-01-09 16:32:00,short,49430.3,49450.11,49380.77500000001,49450.11,sl,-21.81,-587.21,-1.101,106085.75,new_york,49430.11,49416.11,2026-01-09 16:15:00
