trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-15 15:12:00,2025-12-15 16:05:00,short,48671.73,48711.71,48571.78000000001,48711.71,sl,-41.98,-525.01,-1.05,99474.99,new_york,48691.71,48663.23,2025-12-15 15:10:00
2,2025-12-16 17:50:00,2025-12-16 18:37:00,long,48232.81,48125.31,48501.56,48125.31,sl,-109.5,-506.63,-1.019,98968.36,new_york,48233.81,48145.31,2025-12-16 17:50:00
3,2025-12-18 15:07:00,2025-12-18 15:26:00,long,47956.81,47929.13,48026.009999999995,48026.009999999995,tp,67.2,1201.35,2.428,100169.71,new_york,47963.18,47949.13,2025-12-18 13:15:00
4,2025-12-30 14:10:00,2025-12-30 16:32:00,short,48481.7,48509.7,48411.7,48411.7,tp,68.0,1216.35,2.429,101386.06,new_york,48489.7,48480.2,2025-12-30 11:30:00
5,2026-01-02 14:15:00,2026-01-02 15:50:00,short,48269.81,48299.0,48196.83499999999,48196.83499999999,tp,70.98,1232.59,2.431,102618.65,new_york,48279.0,48268.5,2026-01-02 14:15:00
6,2026-01-05 14:30:00,2026-01-05 15:07:00,long,48364.31,48341.31,48421.81,48341.31,sl,-25.0,-557.71,-1.087,102060.94,new_york,48366.81,48361.31,2026-01-05 06:55:00
7,2026-01-06 16:24:00,2026-01-06 16:33:00,long,48910.01,48874.2,48999.53500000002,48999.53500000002,tp,87.53,1247.26,2.444,103308.2,new_york,48911.2,48894.2,2026-01-06 15:00:00
8,2026-01-08 16:31:00,2026-01-08 16:32:00,short,48934.7,48919.61,48972.42499999999,48919.61,sl,13.09,448.08,0.867,103756.28,new_york,48899.61,48880.65,2026-01-08 11:30:00
9,2026-01-09 16:31:00,2026-01-09 16:32:00,short,49430.3,49450.11,49380.77500000001,49450.11,sl,-21.81,-571.16,-1.101,103185.12,new_york,49430.11,49416.11,2026-01-09 16:20:00
10,2026-01-09 17:04:00,2026-01-09 17:05:00,long,49238.3,49213.3,49300.8,49213.3,sl,-27.0,-557.2,-1.08,102627.92,new_york,49240.8,49233.3,2026-01-09 09:50:00
