trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-12 11:34:00,2025-12-12 13:39:00,long,48808.01,48777.51,48914.76,48777.51,sl,-32.5,-532.79,-1.066,99467.21,new_york,48808.01,48802.51,2025-12-12 07:05:00
2,2025-12-12 11:38:00,2025-12-12 13:48:00,long,48807.01,48769.01,48940.01,48769.01,sl,-40.0,-526.32,-1.053,98940.9,new_york,48807.01,48794.01,2025-12-12 05:40:00
4,2025-12-12 16:11:00,2025-12-12 16:30:00,long,48796.73,48761.11,48921.40000000001,48761.11,sl,-37.62,-522.48,-1.056,98418.42,new_york,48796.73,48786.11,2025-12-12 16:00:00
3,2025-12-12 16:00:00,2025-12-12 16:47:00,short,48827.21,48863.78,48699.215,48863.78,sl,-38.57,-521.76,-1.055,97896.66,new_york,48838.78,48827.21,2025-12-12 13:40:00
5,2025-12-12 17:01:00,2025-12-12 17:13:00,long,48796.11,48741.91,48985.80999999999,48741.91,sl,-56.2,-507.55,-1.037,97389.11,new_york,48796.11,48766.91,2025-12-12 16:50:00
7,2025-12-15 15:08:00,2025-12-15 16:11:00,short,48663.23,48716.71,48476.05000000002,48716.71,sl,-55.48,-505.16,-1.037,96883.96,new_york,48691.71,48663.23,2025-12-15 15:05:00
8,2025-12-15 16:34:00,2025-12-15 16:35:00,long,48600.91,48570.91,48705.91,48570.91,sl,-32.0,-516.71,-1.067,96367.24,new_york,48600.91,48595.91,2025-12-15 10:45:00
6,2025-12-15 14:50:00,2025-12-15 16:48:00,short,48681.23,48720.73,48542.98,48542.98,tp,136.25,1679.65,3.449,98046.89,new_york,48695.73,48681.23,2025-12-15 14:15:00
9,2025-12-16 16:30:00,2025-12-16 16:40:00,long,48370.33,48333.33,48499.83,48333.33,sl,-39.0,-516.73,-1.054,97530.16,new_york,48370.33,48358.33,2025-12-16 13:55:00
10,2025-12-16 16:45:00,2025-12-16 16:50:00,long,48306.51,48270.11,48433.91,48433.91,tp,125.4,1679.98,3.445,99210.14,new_york,48306.51,48295.11,2025-12-16 12:30:00
11,2025-12-16 17:51:00,2025-12-16 19:26:00,long,48233.81,48120.31,48631.06,48120.31,sl,-115.5,-504.79,-1.018,98705.35,new_york,48233.81,48145.31,2025-12-16 17:45:00
13,2025-12-18 15:03:00,2025-12-18 15:17:00,short,47977.91,48011.01,47862.06000000001,48011.01,sl,-35.1,-523.35,-1.06,98182.01,new_york,47986.01,47977.91,2025-12-18 15:00:00
12,2025-12-18 14:53:00,2025-12-18 15:30:00,long,47963.18,47924.13,48099.85500000001,48099.85500000001,tp,134.68,1702.07,3.449,99884.07,new_york,47963.18,47949.13,2025-12-18 13:10:00
14,2025-12-18 16:24:00,2025-12-18 16:48:00,long,48131.81,48070.81,48345.31,48070.81,sl,-63.0,-515.79,-1.033,99368.28,new_york,48131.81,48095.81,2025-12-18 16:20:00
15,2025-12-18 19:18:00,2025-12-18 19:24:00,long,47916.61,47881.11,48040.86,47881.11,sl,-37.5,-524.83,-1.056,98843.45,new_york,47916.61,47906.11,2025-12-18 11:50:00
